#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,libertinus-font,"provides fonts based on Linux Libertine/Biolinum, with extended math support."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,bc,"is used for a dropdown calculator."
,qcalculate-qt,"is a feature-rich calculator."
,piper,"is a GTK app that can configure gaming mice."
,sxhkd,"is a simple X hotkey daemon."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,noto-fonts,"provides sans, serif, and mono fonts."
,noto-fonts-emoji,"is an emoji font."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,ntfs-3g,"allows accessing NTFS partitions."
,pipewire,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
A,ani-cli-git,"is a program to watch anime from the terminal."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
A,7-zip-bin,"handles 7z archives."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,pv,"is a tool that monitors the progress of data through a pipeline."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
,zsh-syntax-highlighting,"provides syntax highlighting in the shell."
,dash,"is a POSIX compliant shell."
A,timeshift,"is a system restore utility."
,rsync,"is a remote (and local) file-copying tool."
,thunderbird,"is an email client, calendar, and more."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim-git,"is a graphical and colorful process monitor."
,btop,"is a system resources monitor."
G,https://github.com/Alpuds/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/Alpuds/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/Alpuds/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/Alpuds/dwm.git,"is the window manager."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
A,betterlockscreen,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,noto-fonts-cjk,"provides sans and serif fonts for Japanese, Chinese, and Korean."
,cronie,"is a time-based task scheduler."
,fcitx5,"is an engine for IME."
,fcitx5-configtool,"is a configuration tool for fcitx5."
,fcitx5-mozc,"is a program that provides an IME for Japanese."
,fcitx5-gtk,"makes the IME work well with GTK programs."
,numlockx,"is a program that enables the numlock upon login."
,redshift,"changes the monitor's color temperature."
,chafa,"converts images to text."
,bluez,"provides bluetooth."
,bluez-utils,"provides tools to use bluetooth."
A,dragon-drop,"is a simple drag-and-drop source/sink for X."
